../bba/Slam_After_Major_Fit.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  6H-S                    KT2.AQJ7.KT32.43 J53.9.976.KJT876 AQ8.T8652.AQ54.A 9764.K43.J8.Q952 | 1H-P-2N=1=-P-3C=2=-P-3H-P-4N-P-5D=3=-P-5S-P-6D=4=-P-6H | Jacoby 2NT | Shortness  !C | A=1/5 or 4/5 | !H queen and !D king
446   S  3N-S                    AQ96.975.AT.A973 J832.62.QJ7.QT42 75.AKQJ8.K64.KJ5 KT4.T43.98532.86 | 1N-P-2C=1=-P-2H-P-3N | Stayman
447   S  6S-S                    A53.AJ4.KJ.AQT62 2.T9832.9543.543 QJT874.KQ.AQ7.K8 K96.765.T862.J97 | 1S-P-2C-P-3S-P-4N-P-5D=1=-P-5H-P-6C=2=-P-6S | A=1/5 or 4/5 | !S queen and !C king
448   S  5H-S                    T872.QJT7.AT.K86 Q94..Q86432.JT53 KJ5.AK963.KJ9.A9 A63.8542.75.Q742 | 1H-P-2N=1=-P-3H-P-4H-P-4N-P-5D=2=-P-5H | Jacoby 2NT | A=1/5 or 4/5
449   S  6S-S                    AJ6.K53.KJ5.KQJ6 73.J8.T743.98532 KQ9842.Q642.AQ8. T5.AT97.962.AT74 | 1S-P-2C-P-2H-P-2S-P-3D-P-3S-P-4N-P-5D=1=-P-6S | A=1/5 or 4/5
450   S  4H-S                    8.AT4.KQ85.Q9862 AT9543.3.J97.543 KQ.KJ962.A632.AJ J762.Q875.T4.KT7 | 1H-P-1N=1=-P-3D-P-3H-P-3S-P-4D-P-4H | Forcing 1NT
451   S  4H-S                    873.A64.AJT52.AK AQJ9.T9.K976.974 K542.KQJ52.Q.QT5 T6.873.843.J8632 | 1H-P-2D-P-2N-P-3H-P-3S-P-4C-P-4H
452   S  6S-S                    KJT2.A7654.AT.A9 84.83.Q852.KQ754 A9653.KQ.K643.J6 Q7.JT92.J97.T832 | 1S-P-2N=1=-P-4S-P-4N-P-5D=2=-P-6S | Jacoby 2NT | A=1/5 or 4/5
453   S  6H-S                    K752.AKQT2.JT4.A J986.8.K532.KT65 AQT.J9764.Q.QJ42 43.53.A9876.9873 | 1H-P-2N=1=-P-3D=2=-P-3H-P-4H-P-4N-P-5D=3=-P-6H | Jacoby 2NT | Shortness  !D | A=1/5 or 4/5
454   S  6S-S                    AK92.AQT9.QT5.Q3 J86.K852.J983.84 QT753.J.AK4.AJ75 4.7643.762.KT962 | 1S-P-2N=1=-P-3H=2=-P-3S-P-4N-P-5C=3=-P-6S | Jacoby 2NT | Shortness  !H | A=0/5 or 3/5
455   S  6S-S                    KQT4.Q865.4.K742 7.KT3.JT976.T986 A9653.A2.AQ85.AJ J82.J974.K32.Q53 | 1S-P-2N=1=-P-3S-P-4C-P-4H-P-4N-P-5D=2=-P-6S | Jacoby 2NT | A=1/5 or 4/5
456   S  6H-S                    KJ97.875.765.AK5 6532.32.A2.QT943 QT.AKQJ4.KQ4.J86 A84.T96.JT983.72 | 1H-P-1S-P-2N-P-3H-P-4H-P-4N-P-5S=1=-P-6H | A=2/5 or 5/5, Q(H)=1
457   S  6S-S                    KQJ3.KT93.KQ.K74 92.A7.J654.QJ985 AT876.QJ2.AT87.A 54.8654.932.T632 | 1S-P-2N=1=-P-3C=2=-P-3S-P-4C-P-4H-P-4N-P-5D=3=-P-5H-P-6C=4=-P-6S | Jacoby 2NT | Shortness  !C | A=1/5 or 4/5 | !S queen and !C king
458   S  6H-S                    K9542.K63.AJT.A3 QJT86.9.9.QJT865 A3.AQT87.Q753.K2 7.J542.K8642.974 | 1H-P-1S-P-2D-P-3C=1=-P-3N-P-6H | Fourth suit game force
459   S  4H-S                    AJ95.943.AQ2.KQ7 K83.2.T9753.A832 Q742.AKQT6.J6.J5 T6.J875.K84.T964 | 1H-P-2C-P-2N-P-3H-P-4H
460   S  6H-S                    KQ7.Q83.Q62.AKJ5 J9862.96.AT98.86 A53.AKJT75.J3.Q3 T4.42.K754.T9742 | 1H-P-2C-P-3H-P-4N-P-5C=1=-P-6H | A=0/5 or 3/5
461   S  5H-S                    Q2.J87.A7.AKQJ94 AT765.T2.8653.86 KJ43.KQ965.KQ2.3 98.A43.JT94.T752 | 1H-P-2C-P-2N-P-3H-P-4N-P-5H=1= | A=2/5 or 5/5, Q(H)=0
462   S  6H-S                    A6.AK964.K84.K54 T54.T.7532.98763 Q972.QJ532.A9.AQ KJ83.87.QJT6.JT2 | 1H-P-2N=1=-P-3N-P-6H | Jacoby 2NT
463   S  4S-S                    AKQ7.QT5.975.AQ2 T5.97.AT64.T8654 J9862.AK8.QJ.J97 43.J6432.K832.K3 | 1S-P-2N=1=-P-4S | Jacoby 2NT
464   S  7S-S                    AT9.AKQT63.AK5.J 6.842.864.Q76543 KQ87543.5.QT7.AK J2.J97.J932.T982 | 1S-P-2H-P-4S-P-4N-P-5S=1=-P-5N=2=-P-6D=3=-P-7S | A=2/5 or 5/5, Q(S)=1 | King ask by 5NT | K=1
465   S  5H-S                    KJ84.QJ9.85.AQJ9 AT963.T43.QJ9.63 Q.AK765.A32.K842 752.82.KT764.T75 | 1H-P-1S-P-2C-P-4H-P-4N-P-5D=1=-P-5H | A=1/5 or 4/5
466   S  4S-S                    J82.AT43.A62.Q94 K975.K75.953.732 AQ643.J6.KQJ.AJ5 T.Q982.T874.KT86 | 1S-P-1N=1=-P-2N-P-4S | Forcing 1NT
467   S  6S-S                    KQJ.KJ93.AQ7.J72 76.A764.J84.QT84 AT984.QT5.K92.A9 532.82.T653.K653 | 1S-P-2C-P-2N-P-3S-P-4C-P-4H-P-4N-P-5S=1=-P-6S | A=2/5 or 5/5, Q(S)=1
468   S  6H-S                    AQ853.543.A2.K85 KJT9..98763.9743 .AKQT976.K5.AT62 7642.J82.QJT4.QJ | 1H-P-1S-P-4H-P-4N-P-5C=1=-P-6H | A=0/5 or 3/5
469   S  4S-S                    A93.AT86.643.K87 75.Q2.AJT7.Q9632 KQ864.K7.KQ8.AJ5 JT2.J9543.952.T4 | 1S-P-1N=1=-P-2N-P-4S | Forcing 1NT
470   S  4H-S                    Q8732.QJ5.KJ6.Q9 T65.6.942.AJ8754 AK.AKT8742.AT3.2 J94.93.Q875.KT63 | 1H-P-1S-P-4H
471   S  6H-S                    KQ.KQ65.KQ73.AT6 J964.J.T985.J875 A7.AT9832.A2.Q32 T8532.74.J64.K94 | 1H-P-2N=1=-P-3N-P-6H | Jacoby 2NT
472   S  4S-S                    KJ3.AQJ5.KQ2.874 84.KT42.T94.QT65 AT765.98.AJ83.A2 Q92.763.765.KJ93 | 1S-P-2C-P-3D-P-3S-P-4C-P-4D-P-4S
473   S  6H-S                    KJ94.A96.A3.K964 QT3.52.K864.J753 A5.KJT87.Q2.AQT8 8762.Q43.JT975.2 | 1H-P-1S-P-2C-P-2D=1=-P-2N-P-3H-P-3N-P-4N-P-5C=2=-P-5D-P-5H=3=-P-6H | Fourth suit game force | A=0/5 or 3/5 | No !H queen
474   S  6H-S                    AQ2.AQ53.Q83.AT2 87.42.9754.J9854 K9643.KJ98.AJT.3 JT5.T76.K62.KQ76 | 1S-P-2C-P-2H-P-3H-P-3S-P-3N-P-4N-P-5C=1=-P-5D-P-5N=2=-P-6H | A=0/5 or 3/5 | !H queen no !S king no !C king no !D king
475   S  6H-S                    K5.865.T62.AKJ86 Q97.97.K984.Q753 AJ32.AKJT2.AQ3.4 T864.Q43.J75.T92 | 1H-P-1N=1=-P-2S-P-4H-P-4N-P-5D=2=-P-5S-P-6H=3= | Forcing 1NT | A=1/5 or 4/5 | No !H queen
476   S  5H-S                    A832.QJ832.A4.KQ T9.K9.975.J98753 KQ6.AT764.KQ62.6 J754.5.JT83.AT42 | 1H-P-2N=1=-P-3C=2=-P-3H-P-4D-P-4S-P-5H | Jacoby 2NT | Shortness  !C
477   S  6S-S                    KQ7.KJ8.AJ852.63 .QT9753.Q64.QJ92 AJ6543.A6.K97.K7 T982.42.T3.AT854 | 1S-P-2D-P-3S-P-4N-P-5H=1=-P-6S | A=2/5 or 5/5, Q(S)=0
478   S  6S-S                    A65.94.AKQ42.A73 K92.QT7.J87.JT85 QJT74.AKJ2.3.Q94 83.8653.T965.K62 | 1S-P-2D-P-2H-P-2S-P-3D-P-3H-P-4N-P-5C=1=-P-6S | A=0/5 or 3/5
479   S  7H-S                    3.T532.AT42.AKQ4 K98.96.QJ3.97532 AQ76542.AKQJ4.5. JT.87.K9876.JT86 | 1S-P-2C-P-2H-P-4H-P-4N-P-5H=1=-P-7H | A=2/5 or 5/5, Q(H)=0
480   S  4H-S                    A52.K832.Q2.AK62 T964.T7.K9643.J7 KQ7.AQJ64.J8.983 J83.95.AT75.QT54 | 1H-P-2N=1=-P-4H | Jacoby 2NT
481   S  6H-S                    A5.QT743.AK8.KJ4 QT9843.8.T76.QT8 7.AK962.QJ92.A75 KJ62.J5.543.9632 | 1H-P-2N=1=-P-3S=2=-P-4N-P-5C=3=-P-5H-P-6H | Jacoby 2NT | Shortness  !S | A=0/5 or 3/5
482   S  4H-S                    AQ52.QT5.A953.K2 J8643.K2.J4.9754 K.A9873.KQ72.Q86 T97.J64.T86.AJT3 | 1H-P-1S-P-2D-P-3C=1=-P-3N-P-4H | Fourth suit game force
483   S  6S-S                    QT93.AQ85.A5.AQ6 764.KT97.J973.T2 AKJ52.6.Q642.KJ8 8.J432.KT8.97543 | 1S-P-2N=1=-P-3H=2=-P-3S-P-4C-P-4H-P-4N-P-5C=3=-P-5D-P-5N=4=-P-6S | Jacoby 2NT | Shortness  !H | A=0/5 or 3/5 | !S queen no !H king no !C king no !D king
484   S  6S-S                    8764.A.AJ92.AKT3 J9.KT542.K87.Q72 AKQ52.Q963.QT5.5 T3.J87.643.J9864 | 1S-P-2N=1=-P-3C=2=-P-3S-P-4S-P-4N-P-5S=3=-P-6S | Jacoby 2NT | Shortness  !C | A=2/5 or 5/5, Q(S)=1
485   S  6H-S                    3.KQ2.K984.AKQ76 J86542.A4.J7.T43 AKQ.JT865.AQ6.J9 T97.973.T532.852 | 1N-P-4C-P-4S=1=-P-4N-P-5H-P-6H | A=2 out of 4
486   S  6S-S                    A93.T75.KQ.AQJ73 T4.AQJ64.J95.T96 KQJ87.K932.A864. 652.8.T732.K8542 | 1S-P-2C-P-2H-P-2S-P-4N-P-5H=1=-P-6S | A=2/5 or 5/5, Q(S)=0
487   S  4H-S                    AKT93.JT2.K6.KQ9 852.8.QT532.T732 QJ6.AQ9654.84.A8 74.K73.AJ97.J654 | 1H-P-1S-P-2H-P-4H
488   S  6H-S                    KQ.753.AKJ97.J94 J984.92.T64.KT76 A7.AQJT6.Q53.AQ2 T6532.K84.82.853 | 1H-P-2D-P-3N-P-6H
489   S  5H-S                    AQJT9.A95.K64.43 532.T73.Q952.J52 7.QJ642.AT8.AKQT K864.K8.J73.9876 | 1H-P-1S-P-2C-P-2D=1=-P-4N-P-5H=2= | Fourth suit game force | A=2 out of 4
490   S  6H-S                    Q2.875.K62.AKQ96 KT87.943.954.T85 A65.AKT62.AQJ7.3 J943.QJ.T83.J742 | 1H-P-2C-P-3D-P-3H-P-3N-P-4H-P-4N-P-5D=1=-P-5S-P-6H=2= | A=1/5 or 4/5 | No !H queen
491   S  6S-S                    874.K.AK97.A9752 JT3.J984.Q2.KJT3 AKQ96.AT76.54.Q8 52.Q532.JT863.64 | 1S-P-2C-P-3H-P-3S-P-4N-P-5H=1=-P-6S | A=2/5 or 5/5, Q(S)=0
492   S  4H-S                    KT43.A82.KQ3.A72 Q85.JT654.42.QJ3 J6.KQ973.AT86.KT A972..J975.98654 | 1H-P-2C-P-3D-P-3H-P-4C-P-4D-P-4H
493   S  4H-S                    Q4.KQ9843.Q5.KQT 9853.62.K76.J973 AJ.AJT75.AJT4.65 KT762..9832.A842 | 1H-P-2N=1=-P-3N-P-4H | Jacoby 2NT
494   S  6H-S                    QT65.J742.Q52.AQ J84.T.JT6.KJ8743 A7.AK98653.AK.95 K932.Q.98743.T62 | 1H-P-2N=1=-P-3H-P-4H-P-4N-P-5D=2=-P-5N=3=-P-6C=4=-P-6H | Jacoby 2NT | A=1/5 or 4/5 | King ask by 5NT | K=0
495   S  6H-S                    AKJ.KQT72.AJ.J97 52.4.KQ97543.T42 Q87.AJ963.86.AK5 T9643.85.T2.Q863 | 1H-P-2N=1=-P-3N-P-6H | Jacoby 2NT
496   S  5S-S                    QT2.AKQ.Q764.J75 AK.JT963.J53.T42 J9654.4.AK2.AK63 873.8752.T98.Q98 | 1S-P-2D-P-2N-P-3S-P-4N-P-5D=1=-P-5S | A=1/5 or 4/5
497   S  6S-S                    QT9.K6542.AQ.AK7 763.A987.54.QJ32 AKJ542.J.K963.86 8.QT3.JT872.T954 | 1S-P-2H-P-3D-P-3S-P-4D-P-4H-P-4N-P-5S=1=-P-6S | A=2/5 or 5/5, Q(S)=1
498   S  7S-S                    J73.AKJ6.AK65.T4 T.T3.QT732.Q9632 AKQ952.75.94.AKJ 864.Q9842.J8.875 | 1S-P-2D-P-3S-P-4N-P-5C=1=-P-5D-P-6C=2=-P-7S | A=0/5 or 3/5 | !S queen and !C king
499   S  4H-S                    KT93.AQ9.K4.QJ82 AJ4.J63.T972.975 Q8.K7542.Q83.AK4 7652.T8.AJ65.T63 | 1H-P-1S-P-1N-P-4H
500   S  6H-S                    AQT6.AKT.Q82.J93 43.J4.T953.T8542 K87.Q98752.K7.AQ J952.63.AJ64.K76 | 1H-P-2C-P-2H-P-3H-P-3N-P-4N-P-5D=1=-P-5S-P-6D=2=-P-6H | A=1/5 or 4/5 | !H queen and !D king

             -- Sorted Summary of Bidding Sequences --

    1  1D-P-2C-P-3D-P-3S-P-4D-P-4N-P-5S=1=-P-6D | A=2/5 or 5/5, Q(D)=1
    1  1H-P-1N=1=-4S-P-P-5H | Forcing 1NT
    1  1H-P-1N=1=-P-2N-P-4H | Forcing 1NT
    1  1H-P-1N=1=-P-2N-P-4H-P-4N-P-5D=2=-P-6H-P-P-X | Forcing 1NT | A=1/5 or 4/5
    1  1H-P-1N=1=-P-2S-P-4H-P-4N-P-5D=2=-P-5S-P-6H=3= | Forcing 1NT | A=1/5 or 4/5 | No !H queen
    1  1H-P-1N=1=-P-2S-P-4H-P-4N-P-5D=2=-P-6H | Forcing 1NT | A=1/5 or 4/5
    1  1H-P-1N=1=-P-2S-P-6H | Forcing 1NT
    1  1H-P-1N=1=-P-3D-P-3H-P-3S-P-4C-P-4H | Forcing 1NT
    1  1H-P-1N=1=-P-3D-P-3H-P-3S-P-4C-P-4H-P-4N-P-5S=2=-P-6H | Forcing 1NT | A=2/5 or 5/5, Q(H)=1
    1  1H-P-1N=1=-P-3D-P-3H-P-3S-P-4D-P-4H | Forcing 1NT
    1  1H-P-1N=1=-P-3D-P-3H-P-3S-P-4H | Forcing 1NT
    2  1H-P-1N=1=-P-3H-P-4H | Forcing 1NT
    6  1H-P-1N=1=-P-3N-P-6H | Forcing 1NT
    1  1H-P-1S-2N=1=-P-3D-4C=2=-P-4H | Unusual 2NT | Limit raise or better in !H
    1  1H-P-1S-4N=1=-P-5D-X | Unusual 4NT
    4  1H-P-1S-P-1N-P-4H
    1  1H-P-1S-P-1N-P-4N-P-6N
    1  1H-P-1S-P-2C-P-2D=1=-P-2N-P-3H-P-3N-P-4N-P-5C=2=-P-5D-P-5H=3=-P-6H | Fourth suit game force | A=0/5 or 3/5 | No !H queen
    1  1H-P-1S-P-2C-P-2D=1=-P-2N-P-4H | Fourth suit game force
    1  1H-P-1S-P-2C-P-2D=1=-P-4N-P-5D=2=-P-6N | Fourth suit game force | A=1/4 or 4/4
    2  1H-P-1S-P-2C-P-2D=1=-P-4N-P-5H=2= | Fourth suit game force | A=2 out of 4
    1  1H-P-1S-P-2C-P-2D=1=-P-4N-P-5H=2=-P-5N=3=-P-6D=4=-P-6N | Fourth suit game force | A=2 out of 4 | King ask by 5NT | K=1
    3  1H-P-1S-P-2C-P-4H
    1  1H-P-1S-P-2C-P-4H-P-4N-P-5C=1=-P-6H | A=0/5 or 3/5
    1  1H-P-1S-P-2C-P-4H-P-4N-P-5D=1=-P-5H | A=1/5 or 4/5
    1  1H-P-1S-P-2C-P-4H-P-5H-P-6H
    1  1H-P-1S-P-2D-P-3C=1=-P-3N | Fourth suit game force
    4  1H-P-1S-P-2D-P-3C=1=-P-3N-P-4H | Fourth suit game force
    1  1H-P-1S-P-2D-P-3C=1=-P-3N-P-4H-P-4N-P-5C=2=-P-5H-P-6H | Fourth suit game force | A=0/5 or 3/5
    1  1H-P-1S-P-2D-P-3C=1=-P-3N-P-4H-P-4N-P-5H=2=-P-6H | Fourth suit game force | A=2/5 or 5/5, Q(H)=0
    2  1H-P-1S-P-2D-P-3C=1=-P-3N-P-6H | Fourth suit game force
    1  1H-P-1S-P-2D-P-3C=1=-P-4H-P-4N-P-5H=2=-P-5N=3=-P-6D=4=-P-7H | Fourth suit game force | A=2/5 or 5/5, Q(H)=0 | King ask by 5NT | K=1
    1  1H-P-1S-P-2D-P-4H-P-4N-P-5D=1=-P-6H | A=1/5 or 4/5
    1  1H-P-1S-P-2D-P-4H-P-4N-P-5H=1=-P-6H | A=2/5 or 5/5, Q(H)=0
    1  1H-P-1S-P-2H-P-4C=1=-P-4D-P-4H | Splinter
    1  1H-P-1S-P-2H-P-4H
    1  1H-P-1S-P-2H-P-4N-P-5D=1=-P-5S-P-6H=2= | A=1/5 or 4/5 | No !H queen
    1  1H-P-1S-P-2H-P-4N-P-5S=1=-P-6H | A=2/5 or 5/5, Q(H)=1
    1  1H-P-1S-P-2N-P-3H-P-3N-P-4C-P-4H
    1  1H-P-1S-P-2N-P-3H-P-3N-P-4N-P-5C=1=-P-5D-P-6D=2=-P-6H | A=0/5 or 3/5 | !H queen and !D king
    1  1H-P-1S-P-2N-P-3H-P-3S-P-3N-P-4H
    1  1H-P-1S-P-2N-P-3H-P-4H
    1  1H-P-1S-P-2N-P-3H-P-4H-P-4N-P-5D=1=-P-6H | A=1/5 or 4/5
    1  1H-P-1S-P-2N-P-3H-P-4H-P-4N-P-5S=1=-P-6H | A=2/5 or 5/5, Q(H)=1
    1  1H-P-1S-P-2N-P-4C=1=-P-4H-P-4N-P-5C=2=-P-6H | Splinter | A=0/5 or 3/5
    1  1H-P-1S-P-2N-P-6N
    1  1H-P-1S-P-3C-P-3D=1=-P-3N-P-6H | Fourth suit game force
    1  1H-P-1S-P-3D-P-4H
    1  1H-P-1S-P-3H-P-4H
    1  1H-P-1S-P-3H-P-4N-P-5C=1=-P-7H | A=0/5 or 3/5
    1  1H-P-1S-P-3H-P-4N-P-5H=1=-P-6H | A=2/5 or 5/5, Q(H)=0
    1  1H-P-1S-P-3S-P-4N-P-5S=1=-P-5N=2=-P-6D=3=-P-6H | A=2/5 or 5/5, Q(S)=1 | King ask by 5NT | K=1
    1  1H-P-1S-P-4C=1=-P-4H-P-4N-P-5H=2=-P-6S | Splinter | A=2/5 or 5/5, Q(S)=0
    1  1H-P-1S-P-4D=1=-P-4H-P-4N-P-5D=2=-P-5H-P-6D=3=-P-7S | Splinter | A=1/5 or 4/5 | !S queen and !D king
    1  1H-P-1S-P-4H
    2  1H-P-1S-P-4H-P-4N-P-5C=1=-P-6H | A=0/5 or 3/5
    1  1H-P-1S-P-4H-P-4N-P-5D=1=-P-6H | A=1/5 or 4/5
    1  1H-P-2C-2D-4N-P-5S=1=-P-6N | A=2/5 or 5/5, Q(C)=1
    1  1H-P-2C-3D-3S-P-4H
    1  1H-P-2C-3S-4H
    1  1H-P-2C-3S-4H-P-4N-P-5H=1= | A=2/5 or 5/5, Q(H)=0
    1  1H-P-2C-3S-4S=1=-P-4N-P-5H=2=-P-6H | Limit raise or better in !C | A=2/5 or 5/5, Q(C)=0
    1  1H-P-2C-P-2H-P-3H-P-3N-P-4N-P-5D=1=-P-5S-P-6D=2=-P-6H | A=1/5 or 4/5 | !H queen and !D king
    1  1H-P-2C-P-2H-P-3H-P-3N-P-4N-P-5H=1=-P-7H | A=2/5 or 5/5, Q(H)=0
    1  1H-P-2C-P-2H-P-3H-P-3S-P-3N-P-4C-P-4D-P-4H-P-4N-P-5H=1=-P-6H | A=2/5 or 5/5, Q(H)=0
    1  1H-P-2C-P-2H-P-3H-P-4N-P-5D=1=-P-6H | A=1/5 or 4/5
    1  1H-P-2C-P-2H-P-4D=1=-P-4N-P-5C=2=-P-5N=3=-P-6D=4=-P-6H | Splinter | A=0/5 or 3/5 | King ask by 5NT | K=1
    1  1H-P-2C-P-2N-P-3H-P-3N-P-4C-P-4N-P-5C=1=-P-5D-P-6D=2=-P-6H | A=0/5 or 3/5 | !H queen and !D king
    1  1H-P-2C-P-2N-P-3H-P-3N-P-4N-P-5S=1=-P-6H | A=2/5 or 5/5, Q(H)=1
    1  1H-P-2C-P-2N-P-3H-P-3S-P-3N-P-4N-P-5D=1=-P-5S-P-6C=2=-P-6H | A=1/5 or 4/5 | !H queen and !C king
    1  1H-P-2C-P-2N-P-3H-P-3S-P-3N-P-4N-P-5H=1= | A=2/5 or 5/5, Q(H)=0
    1  1H-P-2C-P-2N-P-3H-P-3S-P-4D-P-4H
    1  1H-P-2C-P-2N-P-3H-P-4C-P-4D-P-4H
    1  1H-P-2C-P-2N-P-3H-P-4C-P-4D-P-4H-P-4N-P-5D=1=-P-6H | A=1/5 or 4/5
    2  1H-P-2C-P-2N-P-3H-P-4H
    1  1H-P-2C-P-2N-P-3H-P-4H-P-4N-P-5H=1=-P-5N=2=-P-6D=3=-P-7H | A=2/5 or 5/5, Q(H)=0 | King ask by 5NT | K=1
    1  1H-P-2C-P-2N-P-3H-P-4N-P-5H=1= | A=2/5 or 5/5, Q(H)=0
    1  1H-P-2C-P-2S-P-3H-P-3N-P-4N-P-5S=1=-P-7H | A=2/5 or 5/5, Q(H)=1
    1  1H-P-2C-P-2S-P-3H-P-3S-P-4C-P-4N-P-5H=1=-P-6H | A=2/5 or 5/5, Q(H)=0
    1  1H-P-2C-P-2S-P-3H-P-4N-P-5D=1=-P-5H | A=1/5 or 4/5
    1  1H-P-2C-P-2S-P-3H-P-4N-P-5D=1=-P-6H | A=1/5 or 4/5
    1  1H-P-2C-P-2S-P-3H-P-4N-P-5S=1=-P-5N=2=-P-6C=3=-P-6H | A=2/5 or 5/5, Q(H)=1 | King ask by 5NT | K=0
    1  1H-P-2C-P-2S-P-3H-P-4N-P-5S=1=-P-6H | A=2/5 or 5/5, Q(H)=1
    2  1H-P-2C-P-3C-P-3N
    1  1H-P-2C-P-3D-P-3H-P-3N-P-4C-P-4D-P-4N-P-5D=1=-P-6H | A=1/5 or 4/5
    1  1H-P-2C-P-3D-P-3H-P-3N-P-4C-P-4D-P-4N-P-5H=1=-P-6H | A=2/5 or 5/5, Q(H)=0
    1  1H-P-2C-P-3D-P-3H-P-3N-P-4H-P-4N-P-5D=1=-P-5S-P-6H=2= | A=1/5 or 4/5 | No !H queen
    1  1H-P-2C-P-3D-P-3H-P-4C-P-4D-P-4H
    1  1H-P-2C-P-3D-P-3H-P-4N-P-5C=1=-P-6H | A=0/5 or 3/5
    1  1H-P-2C-P-3D-P-3H-P-4N-P-5H=1=-P-5N=2=-P-6D=3=-P-6H | A=2/5 or 5/5, Q(H)=0 | King ask by 5NT | K=1
    1  1H-P-2C-P-3H-P-4N-P-5C=1=-P-5D-P-5N=2=-P-6C=3=-P-6D=4=-P-6H | A=0/5 or 3/5 | !H queen no !S king no !C king no !D king | King ask by available bid | K=0
    1  1H-P-2C-P-3H-P-4N-P-5C=1=-P-6H | A=0/5 or 3/5
    1  1H-P-2C-P-3H-P-4N-P-5D=1=-P-5S-P-5N=2=-P-6H | A=1/5 or 4/5 | !H queen no !C king no !D king
    1  1H-P-2C-P-3H-P-4N-P-5D=1=-P-7H | A=1/5 or 4/5
    1  1H-P-2C-P-3S=1=-P-4D-P-4S-P-6H | Splinter
    1  1H-P-2D-P-2H-P-3H-P-4H
    1  1H-P-2D-P-2N-P-3H-P-3N-P-4C-P-4H-P-4N-P-5S=1=-P-6H | A=2/5 or 5/5, Q(H)=1
    1  1H-P-2D-P-2N-P-3H-P-3N-P-4N-P-5D=1=-P-5S-P-5N=2= | A=1/5 or 4/5 | !H queen no !C king no !D king
    1  1H-P-2D-P-2N-P-3H-P-3S-P-3N-P-4C-P-4D-P-4N-P-5S=1=-P-6H | A=2/5 or 5/5, Q(H)=1
    2  1H-P-2D-P-2N-P-3H-P-3S-P-3N-P-4N-P-5C=1=-P-6H | A=0/5 or 3/5
    2  1H-P-2D-P-2N-P-3H-P-3S-P-4C-P-4H
    1  1H-P-2D-P-2N-P-3H-P-4C-P-4D-P-4H-P-4N-P-5H=1=-P-6H | A=2/5 or 5/5, Q(H)=0
    1  1H-P-2D-P-2N-P-3H-P-4D-P-4S-P-5H-P-6H
    1  1H-P-2D-P-2N-P-3H-P-4H
    1  1H-P-2D-P-2N-P-3H-P-4N-P-5H=1=-P-6H | A=2/5 or 5/5, Q(H)=0
    1  1H-P-2D-P-2S-P-3H-P-3S-P-4C-P-4H-P-4N-P-5D=1=-P-5S-P-6D=2=-P-6H | A=1/5 or 4/5 | !H queen and !D king
    1  1H-P-2D-P-2S-P-3H-P-4H-P-4N-P-5D=1=-P-5H | A=1/5 or 4/5
    1  1H-P-2D-P-2S-P-3H-P-4N-P-5C=1=-P-6H | A=0/5 or 3/5
    1  1H-P-2D-P-2S-P-3H-P-4N-P-5H=1=-P-5N=2=-P-6H=3=-P-7H | A=2/5 or 5/5, Q(H)=0 | King ask by 5NT | K=2
    1  1H-P-2D-P-3D-P-4C-P-5D
    1  1H-P-2D-P-3H-P-4H
    1  1H-P-2D-P-3H-P-4H-P-4N-P-5H=1=-P-5N=2=-P-6D=3=-P-6H | A=2/5 or 5/5, Q(H)=0 | King ask by 5NT | K=1
    1  1H-P-2D-P-3H-P-4N-P-5C=1=-P-5N=2=-P-6D=3=-P-7H | A=0/5 or 3/5 | King ask by 5NT | K=1
    1  1H-P-2D-P-3H-P-4N-P-5H=1= | A=2/5 or 5/5, Q(H)=0
    2  1H-P-2D-P-3H-P-4N-P-5H=1=-P-6H | A=2/5 or 5/5, Q(H)=0
    1  1H-P-2D-P-3H-P-4N-P-5S=1=-P-5N=2=-P-6C=3=-P-6H | A=2/5 or 5/5, Q(H)=1 | King ask by 5NT | K=0
    1  1H-P-2D-P-3N-P-4N-P-6N
    3  1H-P-2D-P-3N-P-6H
    1  1H-P-2D-P-3S=1=-P-4C-P-4D-P-5C-P-5D | Splinter
    1  1H-P-2D-P-3S=1=-P-4C-P-5D-P-6H | Splinter
    1  1H-P-2H-P-2N-P-3H-P-3S-P-4C-P-4N-P-5C=1=-P-6H | A=0/5 or 3/5
    1  1H-P-2H-P-2N-P-3H-P-4C-P-4D-P-4H
    1  1H-P-2H-P-4C=1=-P-4D-P-4N-P-5D=2=-P-6H | Splinter | A=1/5 or 4/5
    1  1H-P-2N=1=-P-3C=2=-P-3H-P-4C-P-4H-P-4N-P-5S=3=-P-6H | Jacoby 2NT | Shortness  !C | A=2/5 or 5/5, Q(H)=1
    1  1H-P-2N=1=-P-3C=2=-P-3H-P-4D-P-4S-P-5H | Jacoby 2NT | Shortness  !C
    2  1H-P-2N=1=-P-3C=2=-P-3H-P-4N-P-5D=3=-P-5H | Jacoby 2NT | Shortness  !C | A=1/5 or 4/5
    1  1H-P-2N=1=-P-3C=2=-P-3H-P-4N-P-5D=3=-P-5S-P-6C=4=-P-6H | Jacoby 2NT | Shortness  !C | A=1/5 or 4/5 | !H queen and !C king
